RUN	parabank.LoginTest	logintest	1745973045891	 	3.3.1
REQUEST	71		login	1745973057821	1745973058175	OK	 
USER	Login	71	END	1745973057820	1745973058176
USER	Login	75	START	1745973058267	1745973058267
REQUEST	72		login	1745973057929	1745973058327	OK	 
USER	Login	72	END	1745973057928	1745973058328
USER	Login	76	START	1745973058378	1745973058378
REQUEST	73		login	1745973058039	1745973058400	OK	 
USER	Login	73	END	1745973058038	1745973058401
REQUEST	74		login	1745973058157	1745973058475	OK	 
USER	Login	74	END	1745973058156	1745973058476
USER	Login	77	START	1745973058489	1745973058489
USER	Login	78	START	1745973058601	1745973058601
REQUEST	75		login	1745973058268	1745973058605	OK	 
USER	Login	75	END	1745973058267	1745973058606
USER	Login	79	START	1745973058712	1745973058712
REQUEST	76		login	1745973058379	1745973058731	OK	 
USER	Login	76	END	1745973058378	1745973058733
REQUEST	77		login	1745973058490	1745973058820	OK	 
USER	Login	77	END	1745973058489	1745973058821
USER	Login	80	START	1745973058823	1745973058823
USER	Login	81	START	1745973058934	1745973058934
REQUEST	78		login	1745973058602	1745973058970	OK	 
USER	Login	78	END	1745973058601	1745973058971
USER	Login	82	START	1745973059046	1745973059046
REQUEST	79		login	1745973058713	1745973059050	OK	 
USER	Login	79	END	1745973058712	1745973059051
REQUEST	80		login	1745973058824	1745973059152	OK	 
USER	Login	80	END	1745973058823	1745973059153
USER	Login	83	START	1745973059167	1745973059167
REQUEST	81		login	1745973058935	1745973059265	OK	 
USER	Login	81	END	1745973058934	1745973059267
USER	Login	84	START	1745973059279	1745973059279
USER	Login	85	START	1745973059378	1745973059378
REQUEST	82		login	1745973059047	1745973059391	OK	 
USER	Login	82	END	1745973059046	1745973059392
USER	Login	86	START	1745973059501	1745973059501
REQUEST	83		login	1745973059168	1745973059514	OK	 
USER	Login	83	END	1745973059167	1745973059515
USER	Login	87	START	1745973059619	1745973059619
REQUEST	84		login	1745973059280	1745973059623	OK	 
USER	Login	84	END	1745973059279	1745973059624
USER	Login	88	START	1745973059718	1745973059718
REQUEST	85		login	1745973059379	1745973059720	OK	 
USER	Login	85	END	1745973059378	1745973059721
REQUEST	86		login	1745973059501	1745973059840	OK	 
USER	Login	86	END	1745973059501	1745973059841
USER	Login	89	START	1745973059841	1745973059841
REQUEST	87		login	1745973059620	1745973059950	OK	 
USER	Login	90	START	1745973059951	1745973059951
USER	Login	87	END	1745973059619	1745973059952
USER	Login	91	START	1745973060063	1745973060063
REQUEST	88		login	1745973059720	1745973060066	OK	 
USER	Login	88	END	1745973059718	1745973060067
USER	Login	92	START	1745973060168	1745973060168
REQUEST	89		login	1745973059842	1745973060170	OK	 
USER	Login	89	END	1745973059841	1745973060171
REQUEST	90		login	1745973059952	1745973060267	OK	 
USER	Login	90	END	1745973059951	1745973060268
USER	Login	93	START	1745973060278	1745973060278
USER	Login	94	START	1745973060398	1745973060398
REQUEST	91		login	1745973060063	1745973060411	OK	 
USER	Login	91	END	1745973060063	1745973060412
REQUEST	92		login	1745973060169	1745973060500	OK	 
USER	Login	92	END	1745973060168	1745973060501
USER	Login	95	START	1745973060506	1745973060506
USER	Login	96	START	1745973060618	1745973060618
