ASSERTION	AAIDAAEBAQAAAAAAAECfQA==
ASSERTION	AAEDAAEBAQAAAAAAAIizQA==
RUN	parabank.LoginTest	logintest	1746167524076	 	3.3.1
USER	Login	51	END	1746167525474	1746167526095
USER	Login	76	END	1746167525478	1746167526096
USER	Login	55	END	1746167525475	1746167526096
USER	Login	58	END	1746167525475	1746167526096
USER	Login	91	END	1746167525480	1746167526096
USER	Login	89	END	1746167525480	1746167526098
USER	Login	33	END	1746167525470	1746167526098
USER	Login	92	END	1746167525480	1746167526098
USER	Login	87	END	1746167525479	1746167526098
REQUEST	63		login	1746167525476	1746167526100	OK	 
REQUEST	97		login	1746167525481	1746167526100	OK	 
REQUEST	45		login	1746167525474	1746167526101	OK	 
REQUEST	59		login	1746167525476	1746167526100	OK	 
REQUEST	68		login	1746167525478	1746167526101	OK	 
REQUEST	53		login	1746167525475	1746167526100	OK	 
USER	Login	63	END	1746167525476	1746167526102
USER	Login	97	END	1746167525480	1746167526102
USER	Login	59	END	1746167525475	1746167526102
USER	Login	68	END	1746167525477	1746167526103
USER	Login	53	END	1746167525474	1746167526103
USER	Login	45	END	1746167525473	1746167526103
REQUEST	79		login	1746167525479	1746167526105	OK	 
REQUEST	86		login	1746167525479	1746167526105	OK	 
REQUEST	35		login	1746167525473	1746167526105	OK	 
REQUEST	26		login	1746167525470	1746167526105	OK	 
REQUEST	57		login	1746167525477	1746167526105	OK	 
REQUEST	66		login	1746167525477	1746167526105	OK	 
REQUEST	23		login	1746167525457	1746167526105	OK	 
USER	Login	26	END	1746167525470	1746167526107
USER	Login	86	END	1746167525479	1746167526107
REQUEST	25		login	1746167525470	1746167526107	OK	 
USER	Login	57	END	1746167525475	1746167526107
USER	Login	66	END	1746167525476	1746167526107
USER	Login	35	END	1746167525471	1746167526107
USER	Login	79	END	1746167525478	1746167526107
USER	Login	23	END	1746167525371	1746167526108
USER	Login	25	END	1746167525469	1746167526108
REQUEST	96		login	1746167525481	1746167526112	OK	 
REQUEST	30		login	1746167525471	1746167526113	OK	 
REQUEST	50		login	1746167525475	1746167526113	OK	 
USER	Login	96	END	1746167525480	1746167526114
USER	Login	30	END	1746167525470	1746167526114
USER	Login	50	END	1746167525474	1746167526114
REQUEST	94		login	1746167525481	1746167526114	OK	 
REQUEST	32		login	1746167525471	1746167526114	OK	 
USER	Login	94	END	1746167525480	1746167526115
USER	Login	32	END	1746167525470	1746167526115
REQUEST	37		login	1746167525472	1746167526119	OK	 
REQUEST	60		login	1746167525476	1746167526119	OK	 
REQUEST	56		login	1746167525475	1746167526119	OK	 
REQUEST	99		login	1746167525481	1746167526119	OK	 
USER	Login	60	END	1746167525475	1746167526120
USER	Login	56	END	1746167525475	1746167526120
USER	Login	99	END	1746167525481	1746167526120
USER	Login	37	END	1746167525472	1746167526120
REQUEST	9		login	1746167525457	1746167526121	OK	 
REQUEST	61		login	1746167525476	1746167526121	OK	 
REQUEST	62		login	1746167525476	1746167526121	OK	 
REQUEST	74		login	1746167525478	1746167526121	OK	 
REQUEST	69		login	1746167525479	1746167526121	OK	 
USER	Login	74	END	1746167525477	1746167526122
USER	Login	61	END	1746167525475	1746167526122
USER	Login	62	END	1746167525476	1746167526122
USER	Login	69	END	1746167525477	1746167526122
USER	Login	9	END	1746167525365	1746167526122
REQUEST	82		login	1746167525479	1746167526125	OK	 
USER	Login	82	END	1746167525479	1746167526126
REQUEST	100		login	1746167525481	1746167526128	OK	 
