ASSERTION	AAICAAMBAAAAAAAAAFlA
RUN	parabank.EscalabilidadEnTransaccTest	escalabilidadentransacctest	1745973029508	 	3.3.1
REQUEST	19		EscalabilidadEnTransacc	1745973031225	1745973031683	OK	 
REQUEST	25		EscalabilidadEnTransacc	1745973031263	1745973031695	OK	 
REQUEST	27		EscalabilidadEnTransacc	1745973031279	1745973031697	OK	 
REQUEST	32		EscalabilidadEnTransacc	1745973031310	1745973031700	OK	 
REQUEST	29		EscalabilidadEnTransacc	1745973031284	1745973031700	OK	 
USER	Probar escalabilidad en transacciones	19	END	1745973031213	1745973031684
USER	Probar escalabilidad en transacciones	25	END	1745973031262	1745973031696
USER	Probar escalabilidad en transacciones	27	END	1745973031278	1745973031699
USER	Probar escalabilidad en transacciones	29	END	1745973031283	1745973031702
USER	Probar escalabilidad en transacciones	32	END	1745973031309	1745973031702
USER	Probar escalabilidad en transacciones	89	START	1745973031706	1745973031706
REQUEST	40		EscalabilidadEnTransacc	1745973031358	1745973031711	OK	 
USER	Probar escalabilidad en transacciones	91	START	1745973031711	1745973031711
USER	Probar escalabilidad en transacciones	90	START	1745973031711	1745973031711
USER	Probar escalabilidad en transacciones	92	START	1745973031712	1745973031712
USER	Probar escalabilidad en transacciones	40	END	1745973031357	1745973031713
USER	Probar escalabilidad en transacciones	93	START	1745973031713	1745973031713
USER	Probar escalabilidad en transacciones	94	START	1745973031713	1745973031713
REQUEST	8		EscalabilidadEnTransacc	1745973031144	1745973031724	OK	 
USER	Probar escalabilidad en transacciones	95	START	1745973031723	1745973031723
USER	Probar escalabilidad en transacciones	8	END	1745973031143	1745973031725
REQUEST	12		EscalabilidadEnTransacc	1745973031188	1745973031734	OK	 
USER	Probar escalabilidad en transacciones	12	END	1745973031187	1745973031735
REQUEST	17		EscalabilidadEnTransacc	1745973031208	1745973031735	OK	 
REQUEST	10		EscalabilidadEnTransacc	1745973031168	1745973031735	OK	 
USER	Probar escalabilidad en transacciones	17	END	1745973031207	1745973031736
USER	Probar escalabilidad en transacciones	10	END	1745973031167	1745973031737
USER	Probar escalabilidad en transacciones	96	START	1745973031740	1745973031740
USER	Probar escalabilidad en transacciones	97	START	1745973031740	1745973031740
USER	Probar escalabilidad en transacciones	98	START	1745973031743	1745973031743
REQUEST	44		EscalabilidadEnTransacc	1745973031388	1745973031747	OK	 
REQUEST	47		EscalabilidadEnTransacc	1745973031404	1745973031747	OK	 
REQUEST	42		EscalabilidadEnTransacc	1745973031373	1745973031747	OK	 
USER	Probar escalabilidad en transacciones	47	END	1745973031403	1745973031748
USER	Probar escalabilidad en transacciones	44	END	1745973031387	1745973031748
USER	Probar escalabilidad en transacciones	42	END	1745973031373	1745973031748
REQUEST	45		EscalabilidadEnTransacc	1745973031404	1745973031752	OK	 
USER	Probar escalabilidad en transacciones	45	END	1745973031403	1745973031753
USER	Probar escalabilidad en transacciones	99	START	1745973031756	1745973031756
USER	Probar escalabilidad en transacciones	100	START	1745973031756	1745973031756
REQUEST	30		EscalabilidadEnTransacc	1745973031294	1745973031765	OK	 
USER	Probar escalabilidad en transacciones	30	END	1745973031294	1745973031767
USER	Probar escalabilidad en transacciones	101	START	1745973031773	1745973031773
REQUEST	18		EscalabilidadEnTransacc	1745973031228	1745973031775	OK	 
USER	Probar escalabilidad en transacciones	18	END	1745973031213	1745973031776
USER	Probar escalabilidad en transacciones	103	START	1745973031773	1745973031773
USER	Probar escalabilidad en transacciones	102	START	1745973031773	1745973031773
REQUEST	26		EscalabilidadEnTransacc	1745973031264	1745973031785	OK	 
REQUEST	22		EscalabilidadEnTransacc	1745973031242	1745973031785	OK	 
USER	Probar escalabilidad en transacciones	26	END	1745973031263	1745973031786
USER	Probar escalabilidad en transacciones	22	END	1745973031241	1745973031786
USER	Probar escalabilidad en transacciones	104	START	1745973031788	1745973031788
USER	Probar escalabilidad en transacciones	105	START	1745973031793	1745973031793
USER	Probar escalabilidad en transacciones	106	START	1745973031793	1745973031793
REQUEST	23		EscalabilidadEnTransacc	1745973031244	1745973031798	OK	 
REQUEST	31		EscalabilidadEnTransacc	1745973031295	1745973031798	OK	 
REQUEST	20		EscalabilidadEnTransacc	1745973031241	1745973031800	OK	 
REQUEST	21		EscalabilidadEnTransacc	1745973031241	1745973031801	OK	 
USER	Probar escalabilidad en transacciones	31	END	1745973031294	1745973031800
USER	Probar escalabilidad en transacciones	23	END	1745973031243	1745973031800
USER	Probar escalabilidad en transacciones	21	END	1745973031240	1745973031802
USER	Probar escalabilidad en transacciones	20	END	1745973031240	1745973031802
USER	Probar escalabilidad en transacciones	107	START	1745973031805	1745973031805
REQUEST	58		EscalabilidadEnTransacc	1745973031484	1745973031815	OK	 
USER	Probar escalabilidad en transacciones	58	END	1745973031482	1745973031816
USER	Probar escalabilidad en transacciones	108	START	1745973031821	1745973031821
USER	Probar escalabilidad en transacciones	109	START	1745973031822	1745973031822
USER	Probar escalabilidad en transacciones	110	START	1745973031824	1745973031824
USER	Probar escalabilidad en transacciones	112	START	1745973031842	1745973031842
USER	Probar escalabilidad en transacciones	111	START	1745973031842	1745973031842
USER	Probar escalabilidad en transacciones	113	START	1745973031845	1745973031845
REQUEST	43		EscalabilidadEnTransacc	1745973031374	1745973031851	OK	 
USER	Probar escalabilidad en transacciones	43	END	1745973031373	1745973031853
USER	Probar escalabilidad en transacciones	115	START	1745973031860	1745973031860
USER	Probar escalabilidad en transacciones	114	START	1745973031860	1745973031860
USER	Probar escalabilidad en transacciones	116	START	1745973031863	1745973031863
REQUEST	39		EscalabilidadEnTransacc	1745973031358	1745973031866	OK	 
REQUEST	56		EscalabilidadEnTransacc	1745973031483	1745973031866	OK	 
REQUEST	51		EscalabilidadEnTransacc	1745973031436	1745973031866	OK	 
USER	Probar escalabilidad en transacciones	39	END	1745973031357	1745973031867
USER	Probar escalabilidad en transacciones	56	END	1745973031482	1745973031867
USER	Probar escalabilidad en transacciones	51	END	1745973031434	1745973031869
REQUEST	37		EscalabilidadEnTransacc	1745973031341	1745973031873	OK	 
USER	Probar escalabilidad en transacciones	37	END	1745973031341	1745973031875
USER	Probar escalabilidad en transacciones	117	START	1745973031876	1745973031876
REQUEST	50		EscalabilidadEnTransacc	1745973031424	1745973031877	OK	 
USER	Probar escalabilidad en transacciones	118	START	1745973031877	1745973031877
USER	Probar escalabilidad en transacciones	50	END	1745973031423	1745973031879
USER	Probar escalabilidad en transacciones	119	START	1745973031892	1745973031892
USER	Probar escalabilidad en transacciones	120	START	1745973031893	1745973031893
USER	Probar escalabilidad en transacciones	121	START	1745973031893	1745973031893
USER	Probar escalabilidad en transacciones	123	START	1745973031930	1745973031930
USER	Probar escalabilidad en transacciones	124	START	1745973031930	1745973031930
USER	Probar escalabilidad en transacciones	122	START	1745973031930	1745973031930
USER	Probar escalabilidad en transacciones	125	START	1745973031932	1745973031932
USER	Probar escalabilidad en transacciones	126	START	1745973031936	1745973031936
USER	Probar escalabilidad en transacciones	127	START	1745973031936	1745973031936
REQUEST	36		EscalabilidadEnTransacc	1745973031341	1745973031960	OK	 
USER	Probar escalabilidad en transacciones	36	END	1745973031340	1745973031962
USER	Probar escalabilidad en transacciones	128	START	1745973031962	1745973031962
USER	Probar escalabilidad en transacciones	129	START	1745973031963	1745973031963
USER	Probar escalabilidad en transacciones	130	START	1745973031963	1745973031963
REQUEST	46		EscalabilidadEnTransacc	1745973031404	1745973031967	OK	 
USER	Probar escalabilidad en transacciones	46	END	1745973031403	1745973031968
REQUEST	35		EscalabilidadEnTransacc	1745973031326	1745973031972	OK	 
REQUEST	60		EscalabilidadEnTransacc	1745973031499	1745973031973	OK	 
USER	Probar escalabilidad en transacciones	35	END	1745973031325	1745973031973
USER	Probar escalabilidad en transacciones	60	END	1745973031498	1745973031974
USER	Probar escalabilidad en transacciones	131	START	1745973031978	1745973031978
REQUEST	38		EscalabilidadEnTransacc	1745973031345	1745973031984	OK	 
REQUEST	41		EscalabilidadEnTransacc	1745973031373	1745973031984	OK	 
USER	Probar escalabilidad en transacciones	38	END	1745973031343	1745973031985
USER	Probar escalabilidad en transacciones	41	END	1745973031372	1745973031985
REQUEST	52		EscalabilidadEnTransacc	1745973031436	1745973031993	OK	 
USER	Probar escalabilidad en transacciones	132	START	1745973031993	1745973031993
USER	Probar escalabilidad en transacciones	52	END	1745973031434	1745973031994
USER	Probar escalabilidad en transacciones	133	START	1745973031993	1745973031993
USER	Probar escalabilidad en transacciones	134	START	1745973031995	1745973031995
REQUEST	54		EscalabilidadEnTransacc	1745973031461	1745973031998	OK	 
USER	Probar escalabilidad en transacciones	54	END	1745973031459	1745973032000
REQUEST	72		EscalabilidadEnTransacc	1745973031580	1745973032005	OK	 
USER	Probar escalabilidad en transacciones	72	END	1745973031580	1745973032006
REQUEST	59		EscalabilidadEnTransacc	1745973031487	1745973032006	OK	 
REQUEST	49		EscalabilidadEnTransacc	1745973031420	1745973032007	OK	 
USER	Probar escalabilidad en transacciones	49	END	1745973031419	1745973032007
USER	Probar escalabilidad en transacciones	59	END	1745973031486	1745973032007
REQUEST	55		EscalabilidadEnTransacc	1745973031459	1745973032011	OK	 
REQUEST	61		EscalabilidadEnTransacc	1745973031499	1745973032011	OK	 
USER	Probar escalabilidad en transacciones	136	START	1745973032010	1745973032010
USER	Probar escalabilidad en transacciones	135	START	1745973032010	1745973032010
USER	Probar escalabilidad en transacciones	55	END	1745973031459	1745973032012
USER	Probar escalabilidad en transacciones	61	END	1745973031498	1745973032012
USER	Probar escalabilidad en transacciones	137	START	1745973032013	1745973032013
REQUEST	48		EscalabilidadEnTransacc	1745973031420	1745973032014	OK	 
USER	Probar escalabilidad en transacciones	48	END	1745973031419	1745973032015
USER	Probar escalabilidad en transacciones	138	START	1745973032026	1745973032026
USER	Probar escalabilidad en transacciones	139	START	1745973032026	1745973032026
USER	Probar escalabilidad en transacciones	140	START	1745973032044	1745973032044
USER	Probar escalabilidad en transacciones	142	START	1745973032044	1745973032044
USER	Probar escalabilidad en transacciones	141	START	1745973032044	1745973032044
REQUEST	67		EscalabilidadEnTransacc	1745973031556	1745973032049	OK	 
USER	Probar escalabilidad en transacciones	67	END	1745973031554	1745973032050
REQUEST	57		EscalabilidadEnTransacc	1745973031483	1745973032053	OK	 
REQUEST	77		EscalabilidadEnTransacc	1745973031608	1745973032053	OK	 
USER	Probar escalabilidad en transacciones	77	END	1745973031606	1745973032054
USER	Probar escalabilidad en transacciones	57	END	1745973031482	1745973032054
REQUEST	79		EscalabilidadEnTransacc	1745973031619	1745973032056	OK	 
USER	Probar escalabilidad en transacciones	79	END	1745973031618	1745973032058
USER	Probar escalabilidad en transacciones	143	START	1745973032059	1745973032059
REQUEST	68		EscalabilidadEnTransacc	1745973031556	1745973032061	OK	 
USER	Probar escalabilidad en transacciones	68	END	1745973031554	1745973032062
USER	Probar escalabilidad en transacciones	145	START	1745973032063	1745973032063
USER	Probar escalabilidad en transacciones	144	START	1745973032063	1745973032063
USER	Probar escalabilidad en transacciones	146	START	1745973032078	1745973032078
USER	Probar escalabilidad en transacciones	149	START	1745973032094	1745973032094
USER	Probar escalabilidad en transacciones	147	START	1745973032094	1745973032094
USER	Probar escalabilidad en transacciones	148	START	1745973032094	1745973032094
REQUEST	62		EscalabilidadEnTransacc	1745973031505	1745973032098	OK	 
USER	Probar escalabilidad en transacciones	62	END	1745973031503	1745973032099
