ASSERTION	AAMAARNMb2dpbiAxMDAvbG9naW5fMTAwAwABAQEAAAAAAABAn0A=
ASSERTION	AAMAARNMb2dpbiAyMDAvbG9naW5fMjAwAwABAQEAAAAAAACIs0A=
RUN	parabank.LoginTest	logintest	1746084763436	 	3.3.1
USER	Carga Pico	238	START	1746084765288	1746084765288
USER	Carga Pico	241	START	1746084765289	1746084765289
USER	Carga Pico	234	START	1746084765288	1746084765288
USER	Carga Pico	242	START	1746084765289	1746084765289
USER	Carga Pico	243	START	1746084765289	1746084765289
USER	Carga Pico	247	START	1746084765290	1746084765290
USER	Carga Pico	248	START	1746084765290	1746084765290
USER	Carga Pico	245	START	1746084765289	1746084765289
USER	Carga Pico	246	START	1746084765290	1746084765290
USER	Carga Pico	250	START	1746084765291	1746084765291
USER	Carga Pico	251	START	1746084765291	1746084765291
USER	Carga Pico	253	START	1746084765292	1746084765292
USER	Carga Pico	254	START	1746084765292	1746084765292
USER	Carga Pico	252	START	1746084765291	1746084765291
USER	Carga Normal	6	START	1746084765112	1746084765112
USER	Carga Normal	95	START	1746084765272	1746084765272
USER	Carga Pico	256	START	1746084765292	1746084765292
USER	Carga Pico	259	START	1746084765293	1746084765293
USER	Carga Normal	4	START	1746084765112	1746084765112
USER	Carga Normal	1	START	1746084765112	1746084765112
USER	Carga Pico	260	START	1746084765293	1746084765293
USER	Carga Normal	5	START	1746084765112	1746084765112
USER	Carga Pico	258	START	1746084765293	1746084765293
USER	Carga Pico	244	START	1746084765289	1746084765289
USER	Carga Pico	249	START	1746084765291	1746084765291
USER	Carga Normal	19	START	1746084765117	1746084765117
USER	Carga Normal	16	START	1746084765115	1746084765115
USER	Carga Normal	8	START	1746084765113	1746084765113
USER	Carga Normal	14	START	1746084765114	1746084765114
USER	Carga Normal	20	START	1746084765119	1746084765119
USER	Carga Pico	270	START	1746084765295	1746084765295
USER	Carga Normal	12	START	1746084765114	1746084765114
USER	Carga Pico	262	START	1746084765294	1746084765294
USER	Carga Pico	263	START	1746084765294	1746084765294
USER	Carga Pico	275	START	1746084765296	1746084765296
USER	Carga Pico	276	START	1746084765297	1746084765297
USER	Carga Pico	257	START	1746084765297	1746084765297
USER	Carga Pico	277	START	1746084765297	1746084765297
USER	Carga Pico	278	START	1746084765297	1746084765297
USER	Carga Pico	279	START	1746084765297	1746084765297
USER	Carga Pico	280	START	1746084765297	1746084765297
USER	Carga Pico	282	START	1746084765298	1746084765298
USER	Carga Pico	281	START	1746084765298	1746084765298
USER	Carga Pico	285	START	1746084765298	1746084765298
USER	Carga Pico	283	START	1746084765298	1746084765298
USER	Carga Pico	284	START	1746084765298	1746084765298
USER	Carga Pico	286	START	1746084765298	1746084765298
USER	Carga Pico	287	START	1746084765299	1746084765299
USER	Carga Pico	290	START	1746084765299	1746084765299
USER	Carga Pico	288	START	1746084765299	1746084765299
USER	Carga Pico	264	START	1746084765294	1746084765294
USER	Carga Pico	265	START	1746084765294	1746084765294
USER	Carga Pico	293	START	1746084765299	1746084765299
USER	Carga Pico	292	START	1746084765299	1746084765299
USER	Carga Pico	294	START	1746084765300	1746084765300
USER	Carga Pico	291	START	1746084765299	1746084765299
USER	Carga Pico	296	START	1746084765300	1746084765300
USER	Carga Pico	295	START	1746084765300	1746084765300
USER	Carga Pico	299	START	1746084765300	1746084765300
USER	Carga Pico	297	START	1746084765300	1746084765300
USER	Carga Pico	298	START	1746084765300	1746084765300
USER	Carga Pico	300	START	1746084765301	1746084765301
USER	Carga Pico	261	START	1746084765294	1746084765294
USER	Carga Pico	255	START	1746084765292	1746084765292
USER	Carga Pico	267	START	1746084765294	1746084765294
USER	Carga Pico	268	START	1746084765294	1746084765294
USER	Carga Normal	18	START	1746084765116	1746084765116
USER	Carga Pico	272	START	1746084765295	1746084765295
USER	Carga Pico	271	START	1746084765295	1746084765295
USER	Carga Normal	10	START	1746084765113	1746084765113
USER	Carga Pico	274	START	1746084765296	1746084765296
USER	Carga Pico	201	START	1746084765284	1746084765284
USER	Carga Pico	273	START	1746084765295	1746084765295
USER	Carga Normal	23	START	1746084765120	1746084765120
USER	Carga Pico	269	START	1746084765295	1746084765295
USER	Carga Pico	266	START	1746084765294	1746084765294
USER	Carga Normal	2	START	1746084765112	1746084765112
USER	Carga Normal	15	START	1746084765114	1746084765114
USER	Carga Pico	289	START	1746084765299	1746084765299
USER	Carga Pico	160	START	1746084765279	1746084765279
REQUEST	59	Login 100	login_100	1746084765267	1746084765802	OK	 
REQUEST	22	Login 100	login_100	1746084765242	1746084765794	OK	 
REQUEST	55	Login 100	login_100	1746084765267	1746084765796	OK	 
REQUEST	20	Login 100	login_100	1746084765242	1746084765742	OK	 
GROUP	59	Login 100	1746084765267	1746084765806	535	OK
GROUP	55	Login 100	1746084765267	1746084765807	529	OK
GROUP	20	Login 100	1746084765125	1746084765807	500	OK
GROUP	22	Login 100	1746084765125	1746084765806	552	OK
REQUEST	14	Login 100	login_100	1746084765242	1746084765818	OK	 
GROUP	14	Login 100	1746084765125	1746084765818	576	OK
USER	Carga Normal	59	END	1746084765266	1746084765822
USER	Carga Normal	55	END	1746084765266	1746084765822
USER	Carga Normal	22	END	1746084765119	1746084765822
USER	Carga Normal	14	END	1746084765114	1746084765822
REQUEST	6	Login 100	login_100	1746084765242	1746084765825	OK	 
GROUP	6	Login 100	1746084765125	1746084765826	583	OK
USER	Carga Normal	20	END	1746084765119	1746084765825
USER	Carga Normal	6	END	1746084765112	1746084765829
REQUEST	11	Login 100	login_100	1746084765241	1746084765829	OK	 
GROUP	11	Login 100	1746084765125	1746084765830	588	OK
REQUEST	7	Login 100	login_100	1746084765242	1746084765827	OK	 
GROUP	7	Login 100	1746084765125	1746084765830	585	OK
REQUEST	38	Login 100	login_100	1746084765264	1746084765830	OK	 
GROUP	38	Login 100	1746084765264	1746084765831	566	OK
REQUEST	180	Login 200	login_200	1746084765282	1746084765830	OK	 
GROUP	180	Login 200	1746084765282	1746084765831	548	OK
REQUEST	75	Login 100	login_100	1746084765270	1746084765831	OK	 
GROUP	75	Login 100	1746084765269	1746084765832	561	OK
REQUEST	70	Login 100	login_100	1746084765272	1746084765832	OK	 
GROUP	70	Login 100	1746084765271	1746084765832	560	OK
USER	Carga Normal	11	END	1746084765113	1746084765831
USER	Carga Normal	38	END	1746084765264	1746084765831
USER	Carga Normal	7	END	1746084765113	1746084765831
USER	Carga Pico	180	END	1746084765281	1746084765832
USER	Carga Normal	75	END	1746084765269	1746084765832
USER	Carga Normal	70	END	1746084765269	1746084765832
REQUEST	52	Login 100	login_100	1746084765266	1746084765837	OK	 
GROUP	52	Login 100	1746084765266	1746084765837	571	OK
USER	Carga Normal	52	END	1746084765266	1746084765839
REQUEST	16	Login 100	login_100	1746084765242	1746084765846	OK	 
GROUP	16	Login 100	1746084765125	1746084765846	604	OK
USER	Carga Normal	16	END	1746084765115	1746084765847
REQUEST	212	Login 200	login_200	1746084765286	1746084765856	OK	 
GROUP	212	Login 200	1746084765285	1746084765856	570	OK
USER	Carga Pico	212	END	1746084765285	1746084765857
REQUEST	228	Login 200	login_200	1746084765288	1746084765860	OK	 
GROUP	228	Login 200	1746084765287	1746084765860	572	OK
USER	Carga Pico	228	END	1746084765287	1746084765861
REQUEST	30	Login 100	login_100	1746084765263	1746084765874	OK	 
REQUEST	166	Login 200	login_200	1746084765280	1746084765874	OK	 
GROUP	166	Login 200	1746084765280	1746084765875	594	OK
GROUP	30	Login 100	1746084765262	1746084765875	611	OK
USER	Carga Pico	166	END	1746084765280	1746084765875
USER	Carga Normal	30	END	1746084765262	1746084765876
REQUEST	150	Login 200	login_200	1746084765279	1746084765878	OK	 
REQUEST	32	Login 100	login_100	1746084765263	1746084765878	OK	 
GROUP	150	Login 200	1746084765279	1746084765879	599	OK
GROUP	32	Login 100	1746084765262	1746084765879	615	OK
USER	Carga Pico	150	END	1746084765278	1746084765880
USER	Carga Normal	32	END	1746084765262	1746084765881
REQUEST	80	Login 100	login_100	1746084765270	1746084765900	OK	 
GROUP	80	Login 100	1746084765270	1746084765900	630	OK
USER	Carga Normal	80	END	1746084765270	1746084765901
REQUEST	64	Login 100	login_100	1746084765268	1746084765902	OK	 
GROUP	64	Login 100	1746084765268	1746084765903	634	OK
USER	Carga Normal	64	END	1746084765268	1746084765903
REQUEST	35	Login 100	login_100	1746084765263	1746084765916	OK	 
GROUP	35	Login 100	1746084765263	1746084765916	653	OK
USER	Carga Normal	35	END	1746084765263	1746084765917
REQUEST	4	Login 100	login_100	1746084765242	1746084765932	OK	 
REQUEST	71	Login 100	login_100	1746084765269	1746084765932	OK	 
GROUP	4	Login 100	1746084765125	1746084765932	690	OK
GROUP	71	Login 100	1746084765269	1746084765932	663	OK
USER	Carga Normal	71	END	1746084765269	1746084765933
USER	Carga Normal	4	END	1746084765112	1746084765933
REQUEST	123	Login 200	login_200	1746084765276	1746084765934	OK	 
