ASSERTION	AAEDAAEBAQAAAAAAAHCnQA==
ASSERTION	AAECAAIBAAAAAAAAAPA/
RUN	parabank.ConsultarEstadoCuentasTest	consultarestadocuentastest	1746167491661	 	3.3.1
USER	Consultar estado de cuentas	158	START	1746167493279	1746167493279
USER	Consultar estado de cuentas	159	START	1746167493279	1746167493279
USER	Consultar estado de cuentas	162	START	1746167493279	1746167493279
USER	Consultar estado de cuentas	89	START	1746167493274	1746167493274
USER	Consultar estado de cuentas	156	START	1746167493278	1746167493278
USER	Consultar estado de cuentas	160	START	1746167493279	1746167493279
USER	Consultar estado de cuentas	161	START	1746167493279	1746167493279
USER	Consultar estado de cuentas	163	START	1746167493279	1746167493279
USER	Consultar estado de cuentas	164	START	1746167493280	1746167493280
USER	Consultar estado de cuentas	165	START	1746167493280	1746167493280
USER	Consultar estado de cuentas	166	START	1746167493280	1746167493280
USER	Consultar estado de cuentas	169	START	1746167493280	1746167493280
USER	Consultar estado de cuentas	171	START	1746167493280	1746167493280
USER	Consultar estado de cuentas	170	START	1746167493280	1746167493280
USER	Consultar estado de cuentas	150	START	1746167493277	1746167493277
USER	Consultar estado de cuentas	167	START	1746167493280	1746167493280
USER	Consultar estado de cuentas	147	START	1746167493277	1746167493277
USER	Consultar estado de cuentas	175	START	1746167493281	1746167493281
USER	Consultar estado de cuentas	177	START	1746167493281	1746167493281
USER	Consultar estado de cuentas	178	START	1746167493281	1746167493281
USER	Consultar estado de cuentas	176	START	1746167493281	1746167493281
USER	Consultar estado de cuentas	173	START	1746167493280	1746167493280
USER	Consultar estado de cuentas	179	START	1746167493281	1746167493281
USER	Consultar estado de cuentas	174	START	1746167493280	1746167493280
USER	Consultar estado de cuentas	182	START	1746167493282	1746167493282
USER	Consultar estado de cuentas	172	START	1746167493280	1746167493280
USER	Consultar estado de cuentas	184	START	1746167493282	1746167493282
USER	Consultar estado de cuentas	180	START	1746167493282	1746167493282
USER	Consultar estado de cuentas	185	START	1746167493282	1746167493282
USER	Consultar estado de cuentas	186	START	1746167493282	1746167493282
USER	Consultar estado de cuentas	187	START	1746167493282	1746167493282
USER	Consultar estado de cuentas	181	START	1746167493282	1746167493282
USER	Consultar estado de cuentas	188	START	1746167493282	1746167493282
USER	Consultar estado de cuentas	183	START	1746167493282	1746167493282
USER	Consultar estado de cuentas	189	START	1746167493283	1746167493283
USER	Consultar estado de cuentas	192	START	1746167493283	1746167493283
USER	Consultar estado de cuentas	194	START	1746167493283	1746167493283
USER	Consultar estado de cuentas	193	START	1746167493283	1746167493283
USER	Consultar estado de cuentas	196	START	1746167493283	1746167493283
USER	Consultar estado de cuentas	197	START	1746167493284	1746167493284
USER	Consultar estado de cuentas	195	START	1746167493283	1746167493283
